Implementing Agency,Sector/Cluster,Activity Category,Org Type,District,Sub Dstrict,Village,Place Name,Activity,Materials/Service Provided,Primary Beneficiary,# of Primary Beneficiaries,Status,Start Date,End Date
CRS - MDMC,Shelter,,International NGOs,Palu,Palu Barat,Tana Madindi,,shelter kits distribution,,Keluarga,,ongoing,Oct-11-2018,Oct-26-2018
CRS - MDMC,Shelter,,International NGOs,Palu,Palu Barat,Penganu,,shelter kits distribution,,Keluarga,,ongoing,Oct-11-2018,Oct-26-2018
CRS - PKPU,Shelter,,International NGOs,Donggala,Banawa,Loli Dando,,shelter kits distribution,,Keluarga,,ongoing,Oct-11-2018,Oct-26-2018
CRS - PKPU,Shelter,,International NGOs,Donggala,Banawa,Loli Saluram,,shelter kits distribution,,Keluarga,,ongoing,Oct-11-2018,Oct-26-2018
CRS - PKPU,WASH,,International NGOs,Donggala,Banawa,Loli Saluram,,hygiene kits distribution,,Keluarga,,ongoing,Oct-11-2018,Oct-26-2018
CRS - PKPU,WASH,,International NGOs,Donggala,Banawa,Peswa,,hygiene kits distribution,,Keluarga,,ongoing,Oct-11-2018,Oct-26-2018
CRS - PKPU,WASH,,International NGOs,Donggala,Banawa,Tasibori,,hygiene kits distribution,,Keluarga,,ongoing,Oct-11-2018,Oct-26-2018
CRS - PKPU,WASH,,International NGOs,Donggala,Banawa,Jono Oge,,hygiene kits distribution,,Keluarga,,ongoing,Oct-11-2018,Oct-26-2018
IAC,Health,,National NGOs,Palu,Palu Barat,Balaroa,Asam dua,ARV distribution,,PLHIV,,completed,43387,43387
IAC,Health,,National NGOs,Donggala,Banawa,Gunung Bale,Gunung Bale,Coordination to district HIV commission,,,,ongoing,43387,43387
IAC,Health,,National NGOs,Palu,Palu Utara,Mamboro,Hospital Madani,out of 16 PLWH that need ARV; reached 8,,PLWHA,,ongoing,43380,43383
IAC,Health,,National NGOs,Palu,Mantikulore,Talise,Hospital Undata,out of 115 PLWH that need ARV; reached 20,,PLWHA,,ongoing,43380,43383
IAC,Health,,National NGOs,Palu,Palu Barat,Kamonji,Hospital Anutapura,out of 128 PLWH that need ARV; reached 12,,PLWHA,,ongoing,43380,43383
IAC,Health,,National NGOs,sigi,Dolo,Soulowe,Soulowe,ARV Distribution,,"1 PLHIV, 2 Child With HIV, 1 mother (high risk cople)",,completed,43381,43381
IAC,Health,,National NGOs,Palu,Tawaeli,Lambara,Lambara,ARV Distribution,,PLHIV,,completed,43382,43382
IAC,Health,,National NGOs,Palu,Palu Timur,Lolu Selatan,Lolu Selatan,ARV Distribution,,PLHIV,,completed,43383,43383
IAC,Health,,National NGOs,Palu,Mantikulore,Tondo,RS. Undata,ARV Delivered for Hospital Stock,,,,,43384,43384
IAC,Health,,National NGOs,Donggala,Sindue Tombusabora,Batusuya Go'O,Batusuya Go,ARV Distribution,,PLHIV,,completed,43384,43384
IAC,Health,,National NGOs,Palu,Palu Timur,Besusu Timur,Lapangan Vatulemo,Psychosocial Support and giving information about HIV to teenager and chil,,,,completed,43385,43385
IBI/Dinkes/UNFPA,Health,,Government,Palu,Ulujadi,Tipo,Tipo Health Center,Provide ANC  delivery Services,,Pregnant women and Post delivery Women,,ongoing,43385,43388
IBI/Dinkes/UNFPA,Health,,Government,Palu,Palu Timur,Besusu Timur,Mabepuro Health Center,Provide ANC  delivery Services,,Pregnant women and Post delivery Women,,ongoing,43385,43388
IBI/Dinkes/UNFPA,Health,,Government,Palu,Palu Timur,Besusu Timur,RH tent Vatulemo,Provide ANC  delivery Services,,Pregnant women and Post delivery Women,,ongoing,43385,43388
IBI/Dinkes/UNFPA,Health,,Government,Palu,Ulujadi,Donggala Kodi,RH tent Balaroa,Provide ANC  delivery Services,,Pregnant women and Post delivery Women,,ongoing,43385,43388
IBI/Dinkes/UNFPA,Health,,Government,Palu,Ulujadi,Donggala Kodi,Health Post Balaroa,Provide ANC  delivery Services,,Pregnant women and Post delivery Women,,ongoing,43385,43388
IBI/Dinkes/UNFPA,Health,,Government,Palu,Mantikulore,Talise Valangguni,Talise Health Center,Provide ANC  delivery Services,,Pregnant women and Post delivery Women,,ongoing,43385,43388
JMK,WASH,,National NGOs,Sigi,Sigi Biromaru,Jono Oge,Camp 3,Hygiene kit distribution,,Data to be followed up,,completed,Oct-10-2018,Oct-10-2018
JMK,Early Recovery,,National NGOs,Sigi,Sigi Biromaru,Jono Oge,Camp 3,Debris clearing  clean water pipeline installation  reactivated public service (health center  health clinic  public facilities  community health center)  temporary income for livelihood support,,Data to be followed up,,planned,Oct-20-2018,Dec-01-2018
JMK,WASH,,National NGOs,Sigi,Dolo,Langaleso,Village 1 and Village 2,Hygiene kit distribution,,Data to be followed up,,completed,Oct-10-2018,Oct-10-2018
JMK,Early Recovery,,National NGOs,Sigi,Dolo,Langaleso,Village 1 and Village 2,Debris clearing  clean water pipeline installation  reactivated public service (health center  health clinic  public facilities  community health center)  temporary income for livelihood support,,Data to be followed up,,planned,Oct-20-2018,Dec-01-2018
JMK,WASH,,National NGOs,Sigi,Dolo Selatan,Wisolo,,Hygiene kit distribution,,Data to be followed up,,completed,Oct-10-2018,Oct-10-2018
JMK,Early Recovery,,National NGOs,Sigi,Dolo Selatan,Wisolo,,Debris clearing  clean water pipeline installation  reactivated public service (health center  health clinic  public facilities  community health center)  temporary income for livelihood support,,Data to be followed up,,planned,Oct-20-2018,Dec-01-2018
JMK,WASH,,National NGOs,Sigi,Dolo Selatan,Jono,,Hygiene kit distribution,,Data to be followed up,,completed,Oct-10-2018,Oct-10-2018
JMK,Early Recovery,,National NGOs,Sigi,Dolo Selatan,Jono,,Debris clearing  clean water pipeline installation  reactivated public service (health center  health clinic  public facilities  community health center)  temporary income for livelihood support,,Data to be followed up,,planned,Oct-20-2018,Dec-01-2018
JMK,Shelter,,National NGOs,Palu,Palu Selatan,Birobuli Utara,Zebra 5,Tarpaulins distribution,,"All: 2 children (under 5), 7 children, 19 adults (1 widow), 1 elderly",,completed,Oct-14-2018,Oct-14-2018
JMK,Early Recovery,,National NGOs,Palu,Palu Selatan,Birobuli Utara,Zebra 5,Debris clearing  clean water pipeline installation  reactivated public service (health center  health clinic  public facilities  community health center)  temporary income for livelihood support,,Data to be followed up,,planned,Oct-20-2018,Dec-01-2018
JMK,Shelter,,National NGOs,Palu,Palu Selatan,Birobuli Utara,Zebra 4,Tarpaulins distribution,,"All: 2 children (under 5), 9 children, 14 adults, 2 elderly",,completed,Oct-14-2018,Oct-14-2018
JMK,Early Recovery,,National NGOs,Palu,Palu Selatan,Birobuli Utara,Zebra 4,Debris clearing  clean water pipeline installation  reactivated public service (health center  health clinic  public facilities  community health center)  temporary income for livelihood support,,Data to be followed up,,planned,Oct-20-2018,Dec-01-2018
JMK,Shelter,,National NGOs,Palu,Mantikulore,Lasoani,Sigi Maranata,Tarpaulins distribution,,"All: 3 children (under 5), 6 children, 26 adults (4 widows), 1 elderly",,completed,Oct-14-2018,Oct-14-2018
JMK,Early Recovery,,National NGOs,Palu,Mantikulore,Lasoani,Sigi Maranata,Debris clearing  clean water pipeline installation  reactivated public service (health center  health clinic  public facilities  community health center)  temporary income for livelihood support,,Data to be followed up,,planned,Oct-20-2018,Dec-01-2018
JMK,Shelter,,National NGOs,Donggala,Sirenja,Balentuma,Dompu,Sarongs distribution,,Data to be followed up,,completed,Oct-14-2018,Oct-15-2018
JMK,WASH,,National NGOs,Donggala,Sirenja,Balentuma,Dompu,Water treatment and water distribution,,Data to be followed up,,ongoing,Oct-15-2018,
JMK,Early Recovery,,National NGOs,Donggala,Sirenja,Balentuma,Dompu,Debris clearing  clean water pipeline installation  reactivated public service (health center  health clinic  public facilities  community health center)  temporary income for livelihood support,,Data to be followed up,,planned,Oct-20-2018,Dec-01-2018
JMK,Shelter,,National NGOs,Donggala,Sirenja,Sipi,Sigaya,Sarongs distribution,,Data to be followed up,,completed,Oct-14-2018,Oct-14-2018
JMK,WASH,,National NGOs,Donggala,Sirenja,Sipi,Sigaya,Water treatment and water distribution,,Data to be followed up,,ongoing,Oct-15-2018,
JMK,Early Recovery,,National NGOs,Donggala,Sirenja,Sipi,Sigaya,Debris clearing  clean water pipeline installation  reactivated public service (health center  health clinic  public facilities  community health center)  temporary income for livelihood support,,Data to be followed up,,planned,Oct-20-2018,Dec-01-2018
JMK,Shelter,,National NGOs,Donggala,Sirenja,Dampal,Dampal,Sarongs and tarpaulins distribution,,Data to be followed up,,completed,Oct-14-2018,Oct-14-2018
JMK,Early Recovery,,National NGOs,Donggala,Sirenja,Dampal,Dampal,Debris clearing  clean water pipeline installation  reactivated public service (health center  health clinic  public facilities  community health center)  temporary income for livelihood support,,Data to be followed up,,planned,Oct-20-2018,Dec-01-2018
MoH,Health,,Government,Sigi,Marawola,Tinggede,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-06-2018,
MoH,Health,,Government,Palu,Palu Selatan,Petobo,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-06-2018,
MoH,Health,,Government,Palu,Palu Barat,Duyu,,Mobile Clinic/Mental Health,,IDP,,completed,Oct-06-2018,
MoH,Health,,Government,Sigi,Dolo,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-06-2018,
MoH,Health,,Government,sigi,Dolo,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-06-2018,
MoH,Health,,Government,Sigi,Dolo,Desa Soulowe,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-06-2018,
MoH,Health,,Government,Sigi,Dolo Selatan,Desa Baluase,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-06-2018,
MoH,Health,,Government,Sigi,Marawola,Binangga,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-06-2018,
MoH,Health,,Government,Palu,Palu Utara,Tawali Boya,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-06-2018,
MoH,Health,,Government,Sigi,Sigi Biromaru,Paluku wale,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-06-2018,
MoH,Health,,Government,Sigi,Marawola,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-06-2018,
MoH,Health,,Government,Sigi,Dolo,Dolo Seulowe 1,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-06-2018,
MoH,Health,,Government,Sigi,Dolo,Dolo Seulowe 1,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-06-2018,
MoH,Health,,Government,Sigi,Dolo Selatan,Baluase,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-06-2018,
MoH,Health,,Government,Palu,Ulujadi,Donggala Kodi,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-07-2018,
MoH,Health,,Government,Palu,Palu Barat,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-07-2018,
MoH,Health,,Government,Donggala,Banawa,Kabonga Kecil,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-07-2018,
MoH,Health,,Government,Palu,Mantikulore,Lasoangi,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-07-2018,
MoH,Health,,Government,Donggala,Tanantovea,Wani,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-07-2018,
MoH,Health,,Government,Palu,Mantikulore,Laswani,Posko Palu Timur,Mobile clinic/Mental Health,,IDP and Affected Population,,completed,Oct-02-2018,
MoH,Health,,Government,Palu,Mantikulore,Laswani,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-03-2018,
MoH,Health,,Government,Palu,Mantikulore,Laswani,Posko Wilayah Sigi 1,Mobile Clinic,,IDP and Affected Population,,completed,Oct-03-2018,
MoH,Health,,Government,Palu,Tawaeli,Pantoloan,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-03-2018,
MoH,Health,,Government,Donggala,Tanantovea,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-03-2018,
MoH,Health,,Government,Donggala,Sirenja,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-03-2018,
MoH,Health,,Government,Donggala,Sirenja,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-06-2018,
MoH,Health,,Government,Donggala,Tanantovea,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-07-2018,
MoH,Health,,Government,Donggala,Banawa,Boya,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-07-2018,
MoH,Health,,Government,Sigi,Tanambulava,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-07-2018,
MoH,Health,,Government,Donggala,Sirenja,Donggala,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-07-2018,
MoH,Health,,Government,sigi,Tanambulava,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-07-2018,
MoH,Health,,Government,Donggala,Sindue,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-08-2018,
MoH,Health,,Government,Palu,Tawaeli,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-08-2018,
MoH,Health,,Government,Sigi,Marawola,Binangga,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-08-2018,
MoH,Health,,Government,Sigi,Marawola,Tinggede,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-08-2018,
MoH,Health,,Government,Donggala,Sindue Tombusabora,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-08-2018,
MoH,Health,,Government,Donggala,Banawa Tengah,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-08-2018,
MoH,Health,,Government,Palu,Palu Selatan,birobuli,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-08-2018,
MoH,Health,,Government,Donggala,Sindue Tombusabora,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-08-2018,
MoH,Health,,Government,Sigi,marawola,sigi,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-08-2018,
MoH,Health,,Government,Donggala,Tanantovea,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-07-2018,
MoH,Health,,Government,Sigi,Dolo Barat,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-08-2018,
MoH,Health,,Government,Sigi,Dolo,SIGI,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-08-2018,
MoH,Health,,Government,Sigi,Dolo,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-09-2018,
MoH,Health,,Government,Donggala,Banawa,Boya,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-08-2018,
MoH,Health,,Government,Donggala,Sindue,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-08-2018,
MoH,Health,,Government,Palu,Mantikulore,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-08-2018,
MoH,Health,,Government,Sigi,Kulawi,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-08-2018,
MoH,Health,,Government,Sigi,Marawola,Binangga,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-09-2018,
MoH,Health,,Government,Sigi,Dolo,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-09-2018,
MoH,Health,,Government,Donggala,Sindue,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-10-2018,
MoH,Health,,Government,Sigi,Marawola,Tinggede,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-09-2018,
MoH,Health,,Government,Donggala,Sindue Tombusabora,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-09-2018,
MoH,Health,,Government,Sigi,Dolo,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-09-2018,
MoH,Health,,Government,Palu,Palu Barat,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-09-2018,
MoH,Health,,Government,Donggala,Balaesang,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-08-2018,
MoH,Health,,Government,sigi,Tanambulava,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-08-2018,
MoH,Health,,Government,Sigi,Sigi Biromaru,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-08-2018,
MoH,Health,,Government,Sigi,Dolo Barat,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-08-2018,
MoH,Health,,Government,Palu,Tawaeli,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-08-2018,
MoH,Health,,Government,Palu,Palu Selatan,Birobuli,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-09-2018,
MoH,Health,,Government,Palu,Palu Timur,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-09-2018,
MoH,Health,,Government,Sigi,Sigi Biromaru,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-09-2018,
MoH,Health,,Government,Palu,Tatanga,Nunu,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-09-2018,
MoH,Health,,Government,Palu,Palu Selatan,birobuli,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-10-2018,
MoH,Health,,Government,Palu,Tatanga,Nunu,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-10-2018,
MoH,Health,,Government,Sigi,Marawola,Binangga,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-10-2018,
MoH,Health,,Government,Sigi,Lindu,Tornado,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-10-2018,
MoH,Health,,Government,Palu,Mantikulore,Tanamodindi,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-10-2018,
MoH,Health,,Government,Palu,Palu Barat,Tipo,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-10-2018,
MoH,Health,,Government,Donggala,Banawa Tengah,Lombo dolo,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-11-2018,
MoH,Health,,Government,Palu,Tatanga,Pengawu,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-11-2018,
MoH,Health,,Government,Sigi,Dolo Barat,Desa Bobo,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-11-2018,
MoH,Health,,Government,Sigi,Sigi Biromaru,Sidera,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-11-2018,
MoH,Health,,Government,Palu,Tawaeli,Pantoloan,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-11-2018,
MoH,Health,,Government,Donggala,Sirenja,Desa Landetovea,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-11-2018,
MoH,Health,,Government,Donggala,Labuan,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-10-2018,
MoH,Health,,Government,Donggala,Labuan,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-09-2018,
MoH,Health,,Government,Palu,Tatanga,Nunu,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-11-2018,
MoH,Health,,Government,Donggala,Sirenja,Desa Sibado,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-11-2018,
MoH,Health,,Government,Sigi,Marawola,Binangga,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-11-2018,
MoH,Health,,Government,sigi,Tanambulava,Desa Sibowi,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-11-2018,
MoH,Health,,Government,sigi,Tanambulava,Ds. Lambara,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-11-2018,
MoH,Health,,Government,Palu,Ulujadi,Silae,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-11-2018,
MoH,Health,,Government,Sigi,Kulawi,,,Mobile Clinic/Mental Health,,IDP,,completed,Oct-08-2018,
MoH,Health,,Government,Donggala,Labuan,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-11-2018,
MoH,Health,,Government,Sigi,Sigi Biromaru,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-12-2018,
MoH,Health,,Government,Sigi,Gumbasa,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-12-2018,
MoH,Health,,Government,Sigi,Dolo selatan,Desa Bangga,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-12-2018,
MoH,Health,,Government,Sigi,Dolo selatan,Desa Bangga,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-12-2018,
MoH,Health,,Government,Palu,Tatanga,Nunu,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-12-2018,
MoH,Health,,Government,Donggala,Sirenja,Desa Lende,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-07-2018,
MoH,Health,,Government,Donggala,Banawa,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-07-2018,
MoH,Health,,Government,Palu,Mantikulore,Layanan indah,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-12-2018,
MoH,Health,,Government,Palu,Palu Selatan,Lolu Utara,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-11-2018,
MoH,Health,,Government,Donggala,Banawa,Desa Labuan Bajo,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-11-2018,
MoH,Health,,Government,Donggala,Banawa,Desa Bone Oge,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-11-2018,
MoH,Health,,Government,Donggala,Banawa,Desa Labuan Bajo,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-11-2018,
MoH,Health,,Government,Sigi,Sigi Biromaru,Desa Lolu,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-11-2018,
MoH,Health,,Government,sigi,Tanambulava,Desa Lambara,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-11-2018,
MoH,Health,,Government,Donggala,Banawa,Banawa,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-12-2018,
MoH,Health,,Government,Donggala,Banawa,Bone Ogi,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-12-2018,
MoH,Health,,Government,Sigi,Palolo,Desa Bobo,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-12-2018,
MoH,Health,,Government,Donggala,Labuan,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-13-2018,
MoH,Health,,Government,Donggala,Sirenja,,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-07-2018,
MoH,Health,,Government,Palu,Tatanga,Nunu,,Mobile Clinic,,IDP and Affected Population,,completed,Oct-08-2018,
MoH/Dinkes/UNFPA,Health,,Government,Donggala,Tanantovea,Wombo Kalonggo,Wombo Yard,Kits distribution,,"WRA, Pregnant Mother, Post delivery mother",,completed,43381,43381
MoH/Dinkes/UNFPA,Health,,Government,Donggala,Tanantovea,Wombo Kalonggo,Wombo Yard,RH tent established,,"WRA, Pregnant Mother, Post delivery mother",,completed,43383,43383
MoH/Dinkes/UNFPA,Health,,Government,Donggala,Tanantovea,Wombo Kalonggo,Wombo Yard,RH session,,"WRA, Pregnant Mother, Post delivery mother",,completed,43383,43383
MoH/Dinkes/UNFPA,Health,,Government,Donggala,Tanantovea,Wombo Kalonggo,Wombo Yard,ANC and FP services,,"WRA, Pregnant Mother, Post delivery mother",,completed,43383,43383
MoH/Dinkes/UNFPA,Health,,Government,Sigi,Marawola,Beka,Beka Yard,Kits distribution,,"WRA, Pregnant Mother, Post delivery mother",,completed,43382,43382
MoH/Dinkes/UNFPA,Health,,Government,Sigi,Marawola,Beka,Beka Yard,RH tent established,,"WRA, Pregnant Mother, Post delivery mother",,completed,43382,43382
MoH/Dinkes/UNFPA,Health,,Government,Sigi,Marawola,Beka,Beka Yard,RH session,,"WRA, Pregnant Mother, Post delivery mother",,completed,43382,43382
MoH/Dinkes/UNFPA,Health,,Government,Sigi,Marawola,Beka,Beka Yard,RH session,,"WRA, Pregnant Mother, Post delivery mother",,completed,43382,43382
